country,emissions
Algeria,257.6112061
Angola,400.969574
Benin,105.6910324
Botswana,97.25849152
Cameroon,279.5312195
Central African Republic,250.816803
Chad,1223.932983
Congo,23.87096596
Cote d'Ivoire,185.7007751
Democratic Republic of Congo,555.5286865
Egypt,684.5322266
Equatorial Guinea,0.438739002
Eritrea,120.1793518
Ethiopia,1910.089722
Gabon,5.590458393
Gambia,29.56750679
Ghana,169.0322266
Guinea,438.1594238
Guinea-Bissau,52.83677673
Kenya,1250.951904
Liberia,9.208291054
Libya,67.41584778
Morocco,295.3795166
Mozambique,210.6539917
Namibia,181.987915
Niger,696.4396362
Nigeria,2082.188232
Senegal,261.5225525
Seychelles,0.078720711
Sierra Leone,86.26763916
Somalia,625.7147827
South Africa,760.3227539
South Sudan,695.7181396
Sudan,1549.11084
Tanzania,1180.221924
Togo,50.73590851
Tunisia,97.72246552
Australia,2450.463135
Bangladesh,2410.234375
Brunei,0.841234267
China,18501.91406
India,18358.51758
Indonesia,3518.344482
Japan,991.649353
Korea,508.4415588
Malaysia,189.0501709
Mongolia,549.242981
New Zealand,1155.99939
Other countries in Southeast Asia,3300.293701
Pakistan,5319.456055
Philippines,1714.848877
Thailand,2078.933838
Vietnam,2193.262695
Argentina,3152.932617
Bolivia,673.7541504
Brazil,14020.08887
Colombia,1795.903198
Cuba,267.4549255
Ecuador,359.8713684
Guyana,57.39715576
Paraguay,835.0689087
Peru,639.6949463
Trinidad and Tobago,4.345527649
Uruguay,751.9459229
Venezuela,1015.064087
Denmark,240.0936127
Estonia,27.72345734
European Union,8851.337891
France,1564.221802
Germany,1269.368652
Israel,39.84008789
Italy,800.0471191
Netherlands,466.8436584
Norway,103.6077347
Other countries in Europe,2284.248779
Other EU17 countries,2811.933838
Other EU7 countries,139.6356812
Poland,615.5054321
Romania,367.9289246
Slovenia,48.42922592
Sweden,128.6583862
Ukraine,377.1493225
United Kingdom,1064.665894
Bahrain,0.964592338
Iran,802.4543457
Iraq,168.223938
Jordan,25.81554222
Kuwait,7.323050499
Lebanon,12.06766987
Oman,37.05989838
Qatar,11.36858845
Saudi Arabia,121.0209732
Syria,133.0528259
United Arab Emirates,47.43784332
Yemen,181.292984
Canada,1072.710693
Mexico,2420.791016
United States,9409.325195
