Country/Territory,Consumption in 2022 ($millions),2022 Population
China,45070.00,1425887337.00
Indonesia,14260.00,275501339.00
India,7580.00,1417173173.00
Japan,5980.00,123951692.00
Philippines,4290.00,115559009.00
South Korea,3950.00,51815810.00
Thailand,3870.00,71697030.00
Brazil,2830.00,215313498.00
Nigeria,2790.00,218541212.00
Russia,2200.00,144713314.00
Nepal,1650.00,30547580.00
Malaysia,1550.00,33938221.00
Mexico,1510.00,127504125.00
Taiwan,880.00,23893394.00
Saudi Arabia,870.00,36408820.00
Myanmar,770.00,54179306.00
South Africa,480.00,59893885.00
Egypt,460.00,110990103.00
Australia,450.00,26177413.00
Bangladesh,440.00,171186372.00
Turkey,420.00,85341241.00
Cambodia,400.00,16767842.00
Germany,390.00,83369843.00
Poland,380.00,39857145.00
Kazakhstan,360.00,19397998.00
Guatemala,280.00,17843908.00
Pakistan,240.00,235824862.00
Uzbekistan,210.00,34627652.00
Canada,200.00,38454327.00
Sri Lanka,200.00,21832143.00
Peru,170.00,34049588.00
Ethiopia,140.00,123379924.00
Singapore,130.00,5975689.00
Kenya,130.00,54027487.00
France,110.00,64626628.00
New Zealand,100.00,5185288.00
Spain,90.00,47558630.00
Czech Republic,70.00,10493986.00
Iran,70.00,88550570.00
Sweden,60.00,10549347.00
Netherlands,60.00,17564014.00
Chile,60.00,19603733.00
Serbia,50.00,7221365.00
Colombia,50.00,51874024.00
Italy,40.00,59037474.00
Hungary,40.00,9967308.00
Belgium,20.00,11655930.00
Denmark,20.00,5882261.00
Finland,20.00,5540745.00
Switzerland,20.00,8740472.00
Argentina,10.00,45510318.00
Costa Rica,10.00,5180829.00
